segment,train,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,anomaly,channel
76,1,1,180,181,3.495366430939227e-06,2.587241683162709e-10,1.6084904983128465e-05,-1.4225883367707646,-0.0773036654387795,1,1,1,31,34,3.1433002442956957e-12,8.166129331452272e-12,180,181,1.4373564906459497e-12,1.429415294565033e-12,0,CADC0872
77,1,1,180,181,-6.273053140331491e-06,2.1093718662050679e-10,1.4523676759708843e-05,-1.3798790827668337,0.0179007956267788,11,1,1,31,44,5.328779836742249e-12,1.5160421130533637e-11,180,181,1.1718732590028157e-12,1.1653988211077725e-12,0,CADC0872
78,1,1,198,199,-1.0495236432160806e-06,5.339947695131565e-10,2.310832684365436e-05,-1.3874609017024164,-0.1041889661129474,1,1,1,41,55,3.913336729971621e-12,9.945435765051948e-12,198,199,2.696943280369478e-12,2.6833908015736517e-12,0,CADC0872
79,1,1,182,183,1.781611322404373e-06,4.034177597538902e-10,2.008526225255449e-05,-0.8338558517755952,-0.4487887167373275,1,1,1,26,37,3.6082947542946738e-12,9.701650285892871e-12,182,183,2.216581097548847e-12,2.204468632534919e-12,0,CADC0872
83,1,1,184,185,6.311814000000077e-08,7.821093261316575e-10,2.796621758714713e-05,-1.4898144084296108,-0.0164111850420139,1,1,1,47,58,1.477979682258526e-12,1.4723699328012557e-12,184,185,4.2505941637590084e-12,4.2276179790900415e-12,0,CADC0872
84,1,1,177,178,2.7145980494382026e-06,7.429013812823033e-10,2.725621729591807e-05,-1.4306010913298026,-0.0610239754201624,1,1,1,43,56,1.427421743962808e-12,1.4108920922930565e-12,177,178,4.197182945097758e-12,4.173603265630917e-12,0,CADC0872
85,1,1,173,174,7.936907586206898e-06,5.965982205763822e-10,2.442536019338061e-05,-1.4700929404093162,-0.0325844290585811,1,1,1,45,56,1.0256166462561637e-12,7.324357024993022e-13,173,174,3.4485446276091454e-12,3.428725405611392e-12,0,CADC0872
86,0,1,176,177,3.284200141242938e-06,5.25711357488014e-10,2.2928396313044093e-05,-1.4530862609027564,-0.0425118669404759,1,1,1,51,64,1.0281426797197442e-12,1.0634296544059628e-12,176,177,2.986996349363716e-12,2.9701206637740906e-12,0,CADC0872
87,0,1,177,178,2.208765617977528e-07,5.141055765632126e-10,2.267389636924392e-05,-1.4957787948396222,0.0152093887620653,1,1,1,54,62,9.687954173582148e-13,1.017118662657163e-12,177,178,2.9045512800181507e-12,2.888233576197824e-12,0,CADC0872
88,1,1,161,162,-3.433459209876543e-06,2.1741008990639618e-10,1.474483265101358e-05,-1.3995810314278638,-0.0951258002999912,1,1,1,41,51,6.194370348541968e-13,8.185023715281874e-13,161,162,1.3503732292322745e-12,1.3420375920147914e-12,0,CADC0872
89,1,1,180,181,3.0945816270718224e-06,2.778229699351285e-10,1.6668022376248732e-05,-1.50866547228592,-0.0133803783681097,1,1,1,58,63,7.235222004563904e-13,1.1707568306613525e-12,180,181,1.5434609440840472e-12,1.5349335355531961e-12,0,CADC0872
91,0,1,177,178,4.341548820224719e-07,2.586415198167186e-10,1.608233564556836e-05,-1.3704141178834812,-0.0982646630239422,1,1,1,51,57,5.63576105585588e-13,6.998270079582643e-13,177,178,1.4612515243882409e-12,1.4530422461613405e-12,0,CADC0872
92,1,1,171,172,-3.592388377906977e-06,2.79823589375466e-10,1.6727928424508098e-05,-1.471195927967888,0.0407507457859605,1,1,1,48,56,6.32703271027755e-13,7.471556964289924e-13,171,172,1.6363952595056489e-12,1.6268813335782905e-12,0,CADC0872
93,1,1,184,185,1.7363352054054051e-06,4.906889083525271e-10,2.2151499009153472e-05,-1.4573953880218091,-0.0468666031016188,1,1,1,52,64,8.772932490443871e-13,9.471598148829386e-13,184,185,2.6667875453941695e-12,2.652372477581228e-12,0,CADC0872
94,0,1,175,176,6.039060977272728e-06,5.07516575048916e-10,2.2528128529660783e-05,-1.3201792493597653,-0.1472410003128667,1,1,1,52,59,9.04111810546067e-13,8.668689179994368e-13,175,176,2.900094714565235e-12,2.883616903687024e-12,0,CADC0872
96,1,1,184,185,1.437770978378378e-06,9.426989031052215e-10,3.0703402142193e-05,-1.4942722552801424,-0.0229708851640948,1,1,1,46,63,1.3173679043932238e-12,6.08737514873977e-13,184,185,5.123363603832727e-12,5.095669746514712e-12,0,CADC0872
98,1,1,181,182,-5.298504725274738e-07,7.905372265744045e-10,2.8116493852797588e-05,-1.4850829787355693,-0.0324248094894206,1,1,1,51,64,1.1998542810252676e-12,7.806928749304099e-13,181,182,4.36760898659892e-12,4.343611135024201e-12,0,CADC0872
100,1,1,177,178,5.531299657303371e-06,4.2015404471798825e-10,2.0497659493658984e-05,-1.4436734263109798,-0.0325044466133817,1,1,1,52,57,7.566201279780084e-13,6.878774364224371e-13,177,178,2.3737516650733797e-12,2.360415981561732e-12,0,CADC0872
101,1,1,175,176,1.4944010170454544e-06,2.718116871940872e-10,1.6486712443482696e-05,-1.4919572667748202,-0.0152433013510625,1,1,1,50,57,7.106335581868916e-13,1.149226248322459e-12,175,176,1.5532096411090696e-12,1.5443845863300408e-12,0,CADC0872
102,1,1,169,170,1.5444158823529192e-08,2.3654979389362953e-10,1.538017535314957e-05,-1.5192484455591122,-0.0227404409111167,1,1,1,50,56,6.547871452329411e-13,9.636567911954909e-13,169,170,1.3997029224475121e-12,1.3914693758448797e-12,0,CADC0872
103,0,1,163,164,-3.3772070701219508e-06,1.2333576515527495e-10,1.110566365217653e-05,-1.4473567245843493,-0.0146940282585836,1,1,1,45,55,4.3075143630128653e-13,7.341146198410868e-13,163,164,7.566611359219322e-13,7.520473485077739e-13,0,CADC0872
105,1,1,169,170,2.4936633905882363e-06,1.4784626466487359e-10,1.2159204935556996e-05,-1.2895263564033577,-0.1073631482139543,1,1,1,54,58,4.977309343060324e-13,9.294165552150837e-13,169,170,8.748299684312049e-13,8.696839097933743e-13,0,CADC0872
107,1,1,177,178,-5.142483426966294e-07,2.2768186545527467e-10,1.5089130705752224e-05,-1.4939471522519352,-0.0131832263241863,1,1,1,56,60,5.679105230513337e-13,8.188402323544929e-13,177,178,1.2863382229111562e-12,1.2791116036813185e-12,0,CADC0872
108,0,1,180,181,-1.5398929668508289e-06,2.2431928477854884e-10,1.497729230463734e-05,-1.4614961163656404,-0.0003316723968342,5,1,1,26,32,1.89440286060444e-12,5.059638128023586e-12,180,181,1.2462182487697158e-12,1.2393330650748554e-12,0,CADC0872
109,1,1,177,178,2.7725879550561803e-06,2.4019666628027256e-10,1.5498279461936173e-05,-1.3626892964164463,-0.0222535607745982,8,1,1,30,44,6.121295225264183e-12,1.7720287320060974e-11,177,178,1.3570433123179245e-12,1.3494194734846776e-12,0,CADC0872
111,1,1,183,184,-7.178251793478263e-07,5.542761809864477e-10,2.354307076373955e-05,-1.4902804586425396,0.0325055706981565,1,1,1,26,42,6.835457946125205e-12,1.851519071448359e-11,183,184,3.028831590089879e-12,3.0123705488393904e-12,0,CADC0872
112,0,1,159,160,-7.13331532375e-06,4.158692672745971e-10,2.039287295293621e-05,-1.428764844401614,-0.0219969629523018,1,1,1,31,40,6.507022667617873e-12,1.7878730571369878e-11,159,160,2.6155299828591014e-12,2.5991829204662327e-12,0,CADC0872
113,1,1,182,183,-2.9480549617486337e-06,6.954670548444273e-10,2.6371709365235072e-05,-1.497065087826975,0.0311215645095931,1,1,1,30,36,2.768676594840002e-12,5.819877153271209e-12,182,183,3.8212475540902586e-12,3.800366419914903e-12,0,CADC0872
115,0,1,180,181,8.081112889502762e-06,7.247176029488675e-10,2.692057954333204e-05,-1.451142940463944,-0.05126756262822,1,1,1,47,64,1.1404303703911472e-12,7.820272319617394e-13,180,181,4.026208905271486e-12,4.003964657176063e-12,0,CADC0872
116,1,1,180,181,6.070373187845303e-06,7.855700485497806e-10,2.802802255867832e-05,-1.5064694057741888,-0.0311183291688051,1,1,1,43,56,1.1905763739299693e-12,7.105954690152855e-13,180,181,4.364278047498781e-12,4.340166014087186e-12,0,CADC0872
117,1,1,168,169,-1.46027224852071e-06,6.395613600594785e-10,2.5289550412363573e-05,-1.477610249264654,-0.0345059873626682,1,1,1,48,51,1.198986310968835e-12,1.0070893406039982e-12,168,169,3.806912857496896e-12,3.784386745914075e-12,0,CADC0872
118,1,1,177,178,-3.254902657303371e-06,6.183474954419583e-10,2.4866593965438017e-05,-1.484768758297597,-0.0189562081915686,1,1,1,54,60,1.0289784959613222e-12,7.735265280480834e-13,177,178,3.4934886748133245e-12,3.473862333943587e-12,0,CADC0872
120,0,1,175,176,5.233998823863636e-06,3.2201117091316857e-10,1.7944669707552953e-05,-1.4329275322134478,-0.0601089298161865,1,1,1,51,58,6.971624302669487e-13,8.504958163814128e-13,175,176,1.8400638337895347e-12,1.8296089256430038e-12,0,CADC0872
122,1,1,175,176,-9.255720852272724e-07,2.581884844387609e-10,1.6068244597303118e-05,-1.4676663734827202,-0.0085579091497641,1,1,1,54,59,6.012835730111704e-13,8.415360837910738e-13,175,176,1.4753627682214908e-12,1.4669800252202325e-12,0,CADC0872
123,1,1,184,185,-1.7774205027027027e-06,2.8010692212227673e-10,1.6736395135221825e-05,-1.4983242979589435,0.0133804083158065,1,1,1,56,60,5.546739853157392e-13,6.337277621886063e-13,184,185,1.522320228925417e-12,1.5140914709312257e-12,0,CADC0872
124,1,1,176,177,3.862645152542373e-06,3.4628444299675304e-10,1.8608719542105876e-05,-1.4776581213307702,-0.0401971481031012,1,1,1,53,63,6.930182033110659e-13,7.944374062067297e-13,176,177,1.967525244299733e-12,1.956409282467532e-12,0,CADC0872
128,1,1,188,189,-1.787396867724868e-06,9.552887372362426e-10,3.090774558644229e-05,-1.498484037764069,0.0116839869013488,1,1,1,54,63,1.3363103545671772e-12,8.301171559844913e-13,188,189,5.081323070405547e-12,5.054437763154724e-12,0,CADC0872
130,1,1,182,183,8.497664262295082e-06,7.297155659200724e-10,2.701324797058052e-05,-1.4730382419644317,-0.0531778674429865,1,1,1,47,59,1.1153178833197377e-12,7.465269972040043e-13,182,183,4.009426186374025e-12,3.987516753661598e-12,0,CADC0872
131,0,1,190,191,3.908168623036649e-06,6.151222066032483e-10,2.480165733581626e-05,-1.4829706498455342,-0.039196930514112,1,1,1,54,67,1.0289688888334733e-12,1.066846816487566e-12,190,191,3.2374852979118337e-12,3.220535113106013e-12,0,CADC0872
133,1,1,184,185,-2.679946854594594e-06,2.6902261510643476e-10,1.6401908886054537e-05,-1.4514986195572848,-0.0281121033379274,1,1,1,53,63,6.315581173775428e-13,9.139533813915389e-13,184,185,1.4620794299262762e-12,1.4541762978726206e-12,0,CADC0872
135,1,1,175,176,2.2546554545454547e-06,1.3221829161478352e-10,1.1498621291910762e-05,-1.468346690467857,-0.0469621844186943,1,1,1,55,56,4.691559265042268e-13,8.32442738129494e-13,175,176,7.555330949416201e-13,7.512402932658154e-13,0,CADC0872
137,1,1,182,183,1.730631210928962e-06,1.6294646171912082e-10,1.2765048441706786e-05,-1.486411880067798,0.0131717210670932,1,1,1,51,58,4.669670317352995e-13,7.317833747166514e-13,182,183,8.953102292259386e-13,8.904178236017533e-13,0,CADC0872
138,1,1,189,190,1.7198987842105263e-06,3.752356580922959e-10,1.9371000441182584e-05,-1.495990145617166,-0.0308050569182987,1,1,1,57,67,6.622959345584009e-13,7.522868851461215e-13,189,190,1.98537385234019e-12,1.9749245162752414e-12,0,CADC0872
140,1,1,188,189,2.3475870158730163e-06,6.817550368199745e-10,2.611043923069803e-05,-1.389598825230904,-0.1031564151034949,1,1,1,50,66,1.0005719994736748e-12,7.922688051383694e-13,188,189,3.6263565788296523e-12,3.607169506983993e-12,0,CADC0872
142,0,1,201,202,-3.5120796534653463e-06,9.605579001175124e-10,3.099286853644742e-05,-1.4924345316589196,0.0026231889746752,1,1,1,56,69,1.1835697731144182e-12,7.259779053997505e-13,201,202,4.7788950254602595e-12,4.755237129294615e-12,0,CADC0872
144,1,1,206,207,7.768148739130436e-06,7.219219050707172e-10,2.6868604449630747e-05,-1.4117759282924864,-0.1126041011278292,1,1,1,53,67,9.391332787495384e-13,8.671450061262046e-13,206,207,3.5044752673335787e-12,3.4875454351242373e-12,0,CADC0872
145,1,1,212,213,6.163727824413145e-06,5.406971020033051e-10,2.325289448656457e-05,-1.1013740765917042,-0.34532683784316,1,1,1,55,71,6.586540202517837e-13,7.171191124427443e-13,212,213,2.550458028317477e-12,2.5384840469638738e-12,0,CADC0872
147,0,1,217,218,-2.569142665137617e-07,2.8608843121257034e-10,1.691414884682556e-05,-1.4331014065909031,-0.0400891825581654,1,1,1,67,78,4.983098532868963e-13,8.396632802573819e-13,217,218,1.318379867339034e-12,1.3123322532686712e-12,0,CADC0872
149,1,1,203,204,1.5210467681372549e-06,1.2780850266076102e-10,1.1305242264576246e-05,-1.472738422659563,-0.0618977404070774,1,1,1,58,66,4.0172850337526973e-13,7.71811408149356e-13,203,204,6.29598535274685e-13,6.265122679449071e-13,0,CADC0872
152,1,1,191,192,-2.8827177390625e-06,1.0048276671519308e-10,1.0024109272907648e-05,-1.2498167037314607,-0.1570674954471162,1,1,1,56,63,3.628328619550296e-13,7.520203082007499e-13,191,192,5.260877838491786e-13,5.233477433082974e-13,0,CADC0872
153,1,1,219,220,-1.781899090909097e-07,3.2306511167793756e-10,1.7974012119667037e-05,-1.472423262965432,0.0372601848115595,1,1,1,64,72,5.752136210578944e-13,8.971635648849389e-13,219,220,1.475183158346747e-12,1.4684777803542617e-12,0,CADC0872
154,1,1,204,205,3.07853767804878e-06,3.558216679876522e-10,1.886323588326383e-05,-1.381150540821647,-0.1238730113175909,1,1,1,65,69,6.30648344627036e-13,9.44976629907646e-13,204,205,1.7442238626845697e-12,1.7357154535983033e-12,0,CADC0872
